,EPK21_5X,EPK28_2X,EPK48_5X,EPK49_5X,MMV1_1X,MMV1_2X,MMV1_5X,TBC15_5X,TBC18_2X,TBC18_5X,TBC40_5X,TBC47_5X
EPK21_5X,100,21,94,43,52,12,61,81,42,63,93,93
EPK28_2X,21,100,22,28,56,67,50,28,49,43,28,20
EPK48_5X,94,22,100,49,51,12,55,83,42,63,92,90
EPK49_5X,43,28,49,100,38,18,39,81,37,38,65,38
MMV1_1X,52,56,51,38,100,47,70,54,74,78,54,52
MMV1_2X,12,67,12,18,47,100,33,18,30,32,19,12
MMV1_5X,61,50,55,39,70,33,100,57,60,65,58,63
TBC15_5X,81,28,83,81,54,18,57,100,47,65,88,78
TBC18_2X,42,49,42,37,74,30,60,47,100,80,47,42
TBC18_5X,63,43,63,38,78,32,65,65,80,100,64,62
TBC40_5X,93,28,92,65,54,19,58,88,47,64,100,93
TBC47_5X,93,20,90,38,52,12,63,78,42,62,93,100
