,EPK21_1X,EPK21_5X,EPK28_1X,EPK28_2X,EPK48_1X,EPK48_5X,EPK49_1X,EPK49_5X,MMV1_1X,MMV1_2X,MMV1_5X,TBC15_1X,TBC15_5X,TBC18_2X,TBC18_5X,TBC40_1X,TBC40_5X,TBC47_1X,TBC47_5X,DMSO
EPK21_1X,100,86,53,23,65,88,87,31,51,13,55,71,71,48,64,95,87,77,86,11
EPK21_5X,86,100,54,21,62,94,87,43,52,12,61,68,81,42,63,88,93,68,93,8
EPK28_1X,53,54,100,65,63,54,68,44,82,52,72,77,58,75,78,65,58,74,53,32
EPK28_2X,23,21,65,100,35,22,31,28,56,67,50,40,28,49,43,29,28,41,20,22
EPK48_1X,65,62,63,35,100,75,71,42,59,25,60,76,65,56,68,66,66,79,61,49
EPK48_5X,88,94,54,22,75,100,88,49,51,12,55,69,83,42,63,89,92,72,90,16
EPK49_1X,87,87,68,31,71,88,100,41,65,20,75,78,75,60,75,89,87,77,87,19
EPK49_5X,31,43,44,28,42,49,41,100,38,18,39,44,81,37,38,36,65,38,38,13
MMV1_1X,51,52,82,56,59,51,65,38,100,47,70,71,54,74,78,61,54,65,52,20
MMV1_2X,13,12,52,67,25,12,20,18,47,100,33,26,18,30,32,22,19,28,12,13
MMV1_5X,55,61,72,50,60,55,75,39,70,33,100,71,57,60,65,59,58,73,63,19
TBC15_1X,71,68,77,40,76,69,78,44,71,26,71,100,71,77,83,75,71,82,67,36
TBC15_5X,71,81,58,28,65,83,75,81,54,18,57,71,100,47,65,73,88,73,78,13
TBC18_2X,48,42,75,49,56,42,60,37,74,30,60,77,47,100,80,54,47,64,42,29
TBC18_5X,64,63,78,43,68,63,75,38,78,32,65,83,65,80,100,71,64,74,62,31
TBC40_1X,95,88,65,29,66,89,89,36,61,22,59,75,73,54,71,100,88,81,87,15
TBC40_5X,87,93,58,28,66,92,87,65,54,19,58,71,88,47,64,88,100,70,93,15
TBC47_1X,77,68,74,41,79,72,77,38,65,28,73,82,73,64,74,81,70,100,69,33
TBC47_5X,86,93,53,20,61,90,87,38,52,12,63,67,78,42,62,87,93,69,100,8
DMSO,11,8,32,22,49,16,19,13,20,13,19,36,13,29,31,15,15,33,8,100
